"BENNER","ESTOQUE","ANAMNESE","MICRO","MONITO","MOUSE","ACESS","ERRO","IMPRESSORA","SIHOSP"
"0","0","0","0","0","0","0","1.04","0","0"
"0","0","0","4.19","0","0","0","0","0","0"
"0","0","0","2.92","0","0","0","0","0","0"
"2.85","0","0","0","0","0","2.85","0","0","2.85"
"0","0","0","0","0","0","2.66","0","0","2.66"
"0","0","0","0","0","0","6.03","0","0","0"
"0","0","0","0","6.97","0","0","0","0","0"
"0","0","0","1.03","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","1.15","0"
"7.03","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","2.86","0","0","2.86"
"0","0","0","10.11","0","0","0","0","0","0"
"0","0","0","0","0","0","0","4.76","0","0"
"0","0","0","0","0","0","0","4.29","0","0"
"0","0","0","10.59","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1.19","0","0"
"0","0","0","0","0","0","0","0","1.07","0"
"2.18","0","0","0","0","0","0","0","0","0"
"3.1","0","0","0","0","0","0","0","0","3.1"
"0","0","0","0","0","0","0","0","2.25","0"
"0","0","0","0","6.02","0","0","0","0","0"
"0","0","0","1.88","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","4.84","0"
"0","0","0","1.11","0","0","0","0","0","0"
"0","0","0","11.11","0","0","0","0","0","0"
"6.21","0","0","0","0","0","0","0","0","0"
"1.22","0","0","0","0","0","0","1.22","0","0"
"10.72","0","0","0","0","0","0","0","0","0"
"0","0","0","1.22","0","1.22","0","0","0","0"
"3.09","3.09","0","0","0","0","3.09","0","0","0"
"0","0","0","0","0","0","0","0","1.81","0"
"0","0","5.24","0","0","0","0","0","0","0"
"0","0","0","1.11","0","0","0","0","1.11","0"
"0","0","0","0","0","0","0","8.78","0","0"
"0","0","0","2.02","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","8.12"
"1.24","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","6.02","0"
"1.1","0","0","0","0","0","0","0","0","0"
"0","0","0","3.37","0","0","0","0","0","0"
"0","0","0","0","5.19","0","0","0","0","0"
"0","0","0","3.21","0","0","0","0","0","0"
